expiry,entry_date,entry_offset,trigger,adjustment,cell_id,lot,net_pnl,adjustments,brokerage_cost
2021-07-08,2021-07-02,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-456.35615252000093,2,601.35615252
2021-07-08,2021-07-02,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6495.80366738,0,109.19633262000002
2021-07-08,2021-07-02,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6495.80366738,0,109.19633262000002
2021-07-08,2021-07-05,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,97.55820884500002,1,394.941791155
2021-07-08,2021-07-05,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,5360.49764135,0,104.50235864999999
2021-07-08,2021-07-05,-3,RISK_60,ONE_STRIKE_INSIDE,ID30_03_RISK_60_ONE_STRIKE_INSIDE,50,5360.49764135,0,104.50235864999999
2021-07-08,2021-07-06,-2,WING_60,RECENTER_BOTH,ID30_02_WING_60_RECENTER_BOTH,50,-984.77232541,1,394.77232541
2021-07-08,2021-07-06,-2,RISK_60,RECENTER_BOTH,ID30_02_RISK_60_RECENTER_BOTH,50,4791.76869273,0,103.23130727
2021-07-08,2021-07-06,-2,RISK_60,ONE_STRIKE_INSIDE,ID30_02_RISK_60_ONE_STRIKE_INSIDE,50,4791.76869273,0,103.23130727
2021-07-15,2021-07-09,-4,WING_60,RECENTER_BOTH,ID30_04_WING_60_RECENTER_BOTH,50,-1090.6431653549994,2,603.143165355
2021-07-15,2021-07-09,-4,RISK_60,RECENTER_BOTH,ID30_04_RISK_60_RECENTER_BOTH,50,6656.475007125,0,111.024992875
2021-07-15,2021-07-09,-4,RISK_60,ONE_STRIKE_INSIDE,ID30_04_RISK_60_ONE_STRIKE_INSIDE,50,6656.475007125,0,111.024992875
2021-07-15,2021-07-12,-3,WING_60,RECENTER_BOTH,ID30_03_WING_60_RECENTER_BOTH,50,-1786.4387920850022,2,608.938792085
2021-07-15,2021-07-12,-3,RISK_60,RECENTER_BOTH,ID30_03_RISK_60_RECENTER_BOTH,50,5863.7887003,0,106.2112997
